Id_Ente;Latitudine;Longitudine;TipologiaSoggetti;Codifica;CategoriaEnte;SottoCategoriaEnte;DenominazioneEnte;Indirizzo;Cap;Comune;Socio_1;Socio_2;Socio_3
28664;40,9148;14,7923;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;IRPINIAMBIENTE S.P.A.;PIAZZA LIBERTA, 1;83100;AVELLINO;PROVINCIA DI AVELLINO 100%;;
17146;40,8243;14,1885;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0391 - Societa e fondazioni a partecipazione regionale;Mostra d'Oltremare S.p.A.;via john fitzgerald kennedy, 54;80125;NAPOLI;COMUNE DI NAPOLI 66,31%;REGIONE CAMPANIA 20,68%;CAMERA DI COMMERCIO DI NAPOLI 8,6%
28665;40,9143;14,7945;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;A.C.S. - AZIENDA CITTA' SERVIZI S.R.L. UNIPERSONALE;PIAZZA DEL POPOLO;83100;AVELLINO;ISTITUZIONE TEATRO COMUNALE CARLO GESUALDO 100%;;
17151;40,9221;14,1596;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Qualiano Multiservizi S.p.A.;VIA Macello, 21;80019;QUALIANO;COMUNE DI QUALIANO 100%;;
28666;41,1559;15,0977;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;AZIENDA CONSORTILE PER LA GESTIONE DELLE POLITICHE SOCIALI NEI COMUNI DELLaAMBITO TERRITORIALE N.A1;Via Fontananuova;83031;ARIANO IRPINO;;;
17157;40,6733;14,784;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Salerno Energia S.p.A.;VIA STEFANO PASSARO, 1;84134;SALERNO;COMUNE DI SALERNO 100%;;
28668;40,7936;14,0602;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ENTE PARCO REGIONALE DEI CAMPI FLEGREI;Via Panoramica;80070;Monte di Procida;REGIONE CAMPANIA 100%;;
17158;40,679;14,764;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Salerno Mobilita S.p.A.;Piazza Principe Amedeo, 6;84122;SALERNO;COMUNE DI SALERNO 100%;;
28669;40,8488;14,2266;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ENTE PARCO METROPOLITANO DELLE COLLINE DI NAPOLI;Via Arenella, 104;80131;NAPOLI;REGIONE CAMPANIA 100%;;
17159;40,64;14,8492;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;SALERNO PULITA S.p.A.;VIA TIBERO CLAUDIO FELICE, 18 BIS;84131;SALERNO;COMUNE DI SALERNO 98,83%;COMUNE DI BARONISSI 1,17%;
28670;40,8888;15,0845;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;PARCO REGIONALE DEI MONTI PICENTINI;via DELLE STIGMATINE, 11;83051;Nusco;REGIONE CAMPANIA 100%;;
17160;40,6928;14,8493;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Salerno Sistemi S.p.A.;via Monticelli;84134;SALERNO;SALERNO ENERGIA HOLDING S.P.A. 100%;;
17161;40,6699;14,7983;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;SALERNO SOLIDALE S.p.A.;Via Vestuti;84133;SALERNO;COMUNE DI SALERNO 100%;;
